セグメント,会社名（正式）,会社名（略称）,理由,商談件数,受注件数,最大受注額,最終接点日,取引ステータス,業種
D,株式会社 宇井測量設計,株式会社 宇井測量設計,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 小林設計事務所,株式会社 小林設計事務所,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 山中工務店,株式会社 山中工務店,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 山双,株式会社 山双,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 山本エンジニアリング,株式会社 山本エンジニアリング,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 岐阜ソイルコンサルタント,株式会社 岐阜ソイルコンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 岩崎設計事務所,株式会社 岩崎設計事務所,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 建友,株式会社 建友,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 建設コンサルタントセンター,株式会社 建設コンサルタントセンター,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 愛太事務所,株式会社 愛太事務所,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 愛龍設計事務所,株式会社 愛龍設計事務所,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 技研オガワ,株式会社 技研オガワ,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 技研測量,株式会社 技研測量,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 拓工,株式会社 拓工,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 新和建設コンサルタント,株式会社 新和建設コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 新生工務,株式会社 新生工務,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 日新ブリッジエンジニアリング,株式会社 日新ブリッジエンジニアリング,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 日本地理コンサルタント,株式会社 日本地理コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 日進,株式会社 日進,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 明和プラテック,株式会社 明和プラテック,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 服部組,株式会社 服部組,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 朝日土質設計コンサルタント,株式会社 朝日土質設計コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 杉山設計事務所,株式会社 杉山設計事務所,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 東日,株式会社 東日,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 東海エンジニアリング,株式会社 東海エンジニアリング,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 東海コンサルタンツ,株式会社 東海コンサルタンツ,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 東海プランニング,株式会社 東海プランニング,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 東海共同測量設計コンサルタント,株式会社 東海共同測量設計コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 東海環境エンジニア,株式会社 東海環境エンジニア,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 松井測量設計事務所,株式会社 松井測量設計事務所,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 松和技研,株式会社 松和技研,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 林事務所,株式会社 林事務所,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 柴山事務所,株式会社 柴山事務所,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 栄和コンサルタント,株式会社 栄和コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 森事務所,株式会社 森事務所,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 殿村,株式会社 殿村,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 滝口測量設計,株式会社 滝口測量設計,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 環境アセスメントセンター,株式会社 環境アセスメントセンター,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 環境設計,株式会社 環境設計,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 用地調査,株式会社 用地調査,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 田原コンサルタント,株式会社 田原コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 白山測量,株式会社 白山測量,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 白岩設計,株式会社 白岩設計,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 相和コンサルタント,株式会社 相和コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 石田技術コンサルタンツ,株式会社 石田技術コンサルタンツ,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 神田設計,株式会社 神田設計,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 第一シーアンドシー,株式会社 第一シーアンドシー,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 第一設計,株式会社 第一設計,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 美里工業,株式会社 美里工業,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 興和調査設計,株式会社 興和調査設計,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 華陽コンサルタント,株式会社 華陽コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 葵エンジニアリング,株式会社 葵エンジニアリング,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 葵設計事務所,株式会社 葵設計事務所,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 蓮池設計,株式会社 蓮池設計,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 西三河都市計画,株式会社 西三河都市計画,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 都市研究所スペーシア,株式会社 都市研究所スペーシア,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 酒井設計事務所,株式会社 酒井設計事務所,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 野田コンサルタント,株式会社 野田コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 鈴木工務所,株式会社 鈴木工務所,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 鈴鹿,株式会社 鈴鹿,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 静岡サン設計,株式会社 静岡サン設計,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 静環検査センター,株式会社 静環検査センター,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 須藤事務所,株式会社 須藤事務所,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 飛州コンサルタント,株式会社 飛州コンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 飛建測量企画,株式会社 飛建測量企画,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 駿河調査設計,株式会社 駿河調査設計,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 高陽測量設計事務所,株式会社 高陽測量設計事務所,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 ＦＢＪコンサルタント,株式会社 ＦＢＪコンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 Ｊ－Ｔａｐ,株式会社 Ｊ－Ｔａｐ,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 Ｊ．ａｃｅ,株式会社 Ｊ．ａｃｅ,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 ＭＮコンサルタント,株式会社 ＭＮコンサルタント,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,株式会社 ＭＳＳ,株式会社 ＭＳＳ,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,株式会社 ＴＯＮＺＡＫＯデザイン,株式会社 ＴＯＮＺＡＫＯデザイン,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,株式会社 ＵＮＳ,株式会社 ＵＮＳ,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,桔梗測量設計 株式会社,桔梗測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,正和測量設計 株式会社,正和測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,瀧上工業 株式会社,瀧上工業 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,瀧上建設興業 株式会社,瀧上建設興業 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,田内測量設計 株式会社,田内測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,穂積建設 株式会社,穂積建設 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,竹内測量設計 株式会社,竹内測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,綜合開発技研 株式会社,綜合開発技研 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,若鈴コンサルタンツ 株式会社,若鈴コンサルタンツ 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,蔦井 株式会社,蔦井 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,赤井測量設計 株式会社,赤井測量設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,金子工業 株式会社,金子工業 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,鈴木設計 株式会社,鈴木設計 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,"測量会社, 建設コンサル"
D,静岡コンサルタント 株式会社,静岡コンサルタント 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,静岡測量 株式会社,静岡測量 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,静岡県土地改良事業団体連合会,静岡県土地改良事業団体連合会,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,鵜飼計測 株式会社,鵜飼計測 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,ＣＳＧコンサルタント 株式会社,ＣＳＧコンサルタント 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,Ｄ－ＦＲＯＮＴＩＥＲ 株式会社,Ｄ－ＦＲＯＮＴＩＥＲ 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,ＫＩ開発 株式会社,ＫＩ開発 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,ＮＴＣコンサルタンツ 株式会社,ＮＴＣコンサルタンツ 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,ＲＢコンサルタント 株式会社,ＲＢコンサルタント 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,建設コンサル
D,ＴＯＴＡＬＭＡＳＴＥＲＳ 株式会社,ＴＯＴＡＬＭＡＳＴＥＲＳ 株式会社,1年以上接点なし（商談なし）,0,0,,,未接触,測量会社
D,不明,,1年以上接点なし（商談なし）,0,0,,,未接触,
D,テスト,テスト,1年以上接点なし（商談なし）,0,0,,,見込み,
D,土屋株式会社,土屋株式会社,1年以上接点なし（商談なし）,0,0,,,見込み,
